mssg_size, time, time_rle,time_rot13,time_rle2,
532, 0.059, 0.092,0.001,0.001,
533, 0.049, 0.091,0,0.001,
534, 0.055, 0.099,0.001,0,
535, 0.042, 0.122,0.001,0,
536, 0.043, 0.1,0.001,0.001,
537, 0.049, 0.103,0.001,0.001,
538, 0.045, 0.093,0.001,0.001,
539, 0.059, 0.096,0,0.001,
540, 0.054, 0.094,0.001,0,
541, 0.049, 0.093,0,0.001,
542, 0.052, 0.12,0.001,0,
543, 0.038, 0.095,0.001,0,
544, 0.032, 0.092,0.001,0,
545, 0.032, 0.096,0,0.003,
546, 0.033, 0.091,0,0.001,
547, 0.033, 0.092,0,0.001,
548, 0.037, 0.099,0.001,0,
549, 0.037, 0.105,0.001,0,
550, 0.063, 0.101,0.001,0.001,
551, 0.034, 0.092,0.001,0.001,
552, 0.032, 0.094,0.001,0.001,
553, 0.035, 0.097,0.001,0,
554, 0.037, 0.095,0,0.001,
555, 0.035, 0.093,0.001,0,
556, 0.035, 0.097,0,0.001,
557, 0.034, 0.125,0.001,0,
558, 0.034, 0.1,0,0.001,
559, 0.037, 0.095,0.001,0,
560, 0.033, 0.102,0.001,0.003,
561, 0.047, 0.098,0.001,0,
562, 0.038, 0.096,0.001,0.001,
563, 0.046, 0.098,0.001,0,
564, 0.063, 0.119,0.001,0.001,
565, 0.052, 0.095,0.001,0,
566, 0.038, 0.099,0,0.001,
567, 0.048, 0.099,0,0.001,
568, 0.042, 0.115,0.001,0.001,
569, 0.042, 0.096,0.002,0,
570, 0.057, 0.108,0,0.001,
571, 0.051, 0.127,0.002,0.001,
572, 0.038, 0.111,0.001,0,
573, 0.048, 0.1,0,0.001,
574, 0.05, 0.1,0.001,0,
575, 0.061, 0.096,0.002,0,
576, 0.054, 0.112,0.001,0,
577, 0.048, 0.099,0.001,0,
578, 0.056, 0.121,0.001,0,
579, 0.035, 0.098,0,0.001,
580, 0.034, 0.101,0.001,0,
581, 0.037, 0.098,0.001,0,
582, 0.035, 0.103,0.001,0,
583, 0.035, 0.099,0,0.001,
584, 0.035, 0.097,0.001,0,
585, 0.035, 0.118,0.001,0.004,
586, 0.043, 0.101,0,0.001,
